      Source      Cruise     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_depth Min_depth Max_depth  SD_depth Avg_draft Min_draft Max_draft  SD_draft
    USSUB-AN       1982a   5040186   1982  309.0  309.0  309.0     11   85.75 -135.55   85.60   85.90 -136.90 -134.21     49     14964   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      2.65      0.14     26.07      2.19
    USSUB-AN       1982a   5040187   1982  309.0  309.0  309.0     11   86.07 -138.66   85.90   86.20 -140.60 -136.73     56     17114   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.63      0.10     21.11      2.56
    USSUB-AN       1982a   5040188   1982  309.0  309.0  309.0     11   85.71 -135.74   85.20   86.20 -140.60 -130.89    156     47249   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.19      0.00     26.07      2.33
    USSUB-AN       1982a   5040189   1982  309.0  309.0  309.0     11   86.67 -150.61   86.50   86.80 -153.90 -147.32     64     19681   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.47      0.00     28.52      2.36
    USSUB-AN       1982a   5040190   1982  309.0  309.0  309.0     11   86.79 -154.18   86.60   86.90 -158.20 -150.16    130     39136   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.37      0.00     28.52      2.33
    USSUB-AN       1982a   5040191   1982  329.0  309.0  329.0     11   87.12 -165.77   86.80   87.20 -169.80 -161.74    317    112084   -999.00   -999.00   -999.00   -999.00    124.00     76.00    125.00   -999.00      3.75      0.00     24.16      2.44
    USSUB-AN       1982a   5040192   1982  309.0  309.0  309.0     11   87.33  175.44   87.20   87.30  161.80  189.08     49     15029   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      4.24      0.00     29.08      2.78
    USSUB-AN       1982a   5040193   1982  309.0  309.0  309.0     11   87.34  174.93   87.20   87.30  160.80  189.06     55     16743   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      4.21      0.00     29.08      2.70
    USSUB-AN       1982a   5040194   1982  309.0  309.0  309.0     11   86.75  139.35   86.70   86.80  136.30  142.40     49     14875   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.61      0.00     20.13      2.55
    USSUB-AN       1982a   5040195   1982  309.0  309.0  309.0     11   86.53  133.51   86.30   86.70  129.60  137.41     50     19880   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.85      0.00     20.52      2.74
    USSUB-AN       1982a   5040196   1982  309.0  309.0  309.0     11   86.61  136.83   86.40   86.80  131.80  141.87     94     28174   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.72      0.00     20.52      2.65
    USSUB-AN       1982a   5040197   1982  319.0  309.0  319.0     11   86.19  126.08   86.00   86.50  124.20  127.97    196     84533   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      2.83      0.00     26.06      2.09
    USSUB-AN       1982a   5040198   1982  309.0  309.0  309.0     11   85.80  121.96   85.70   85.90  120.20  123.72    108     32482   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      3.12      0.00     22.60      2.17
    USSUB-AN       1982a   5040199   1982  309.0  309.0  309.0     11   85.14  115.60   85.00   85.50  114.70  116.50     34     17619   -999.00   -999.00   -999.00   -999.00    116.00     46.00    125.00   -999.00      2.81      0.00     20.97      1.99
    USSUB-AN       1982a   5040200   1982  309.0  309.0  309.0     11   84.62  111.64   84.50   84.80  110.20  113.09    165     49454   -999.00   -999.00   -999.00   -999.00    125.00    125.00    125.00   -999.00      2.71      0.00     17.39      1.63
