      Source      Cruise     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_none  Min_none  Max_none   SD_none  Avg_draft Min_draft Max_draft  SD_draft
    USSUB-DG       1986a   6090000   1986  125.0  125.0  125.0      5   85.45    7.76   85.30   85.60    7.50    8.02     26     26729   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.41      0.00     19.72      2.38
    USSUB-DG       1986a   6090001   1986  125.0  125.0  125.0      5   85.05    7.88   84.80   85.30    7.80    7.95     61     61249   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.11      0.00     25.85      2.36
    USSUB-DG       1986a   6090002   1986  145.0  145.0  145.0      5   81.65 -130.76   81.60   81.70 -132.20 -129.32     49     49639   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.81      0.00     33.49      3.79
    USSUB-DG       1986a   6090003   1986  145.0  145.0  145.0      5   81.55 -133.71   81.40   81.60 -135.20 -132.21     51     51295   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.85      0.00     27.24      3.51
    USSUB-DG       1986a   6090004   1986  145.0  145.0  145.0      5   81.35 -136.61   81.30   81.40 -138.00 -135.22     51     51815   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.48      0.00     24.44      2.70
    USSUB-DG       1986a   6090005   1986  145.0  145.0  145.0      5   81.19 -139.41   81.10   81.30 -140.80 -138.02     53     53384   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.41      0.00     34.92      3.37
    USSUB-DG       1986a   6090006   1986  145.0  145.0  145.0      5   81.06 -142.63   80.90   81.30 -145.40 -139.86     40     40221   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.19      0.00     15.39      2.15
    USSUB-DG       1986a   6090007   1986  145.0  145.0  145.0      5   80.88 -144.39   80.70   81.20 -146.20 -142.57     61     61268   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.59      0.00     25.05      2.37
    USSUB-DG       1986a   6090008   1986  145.0  145.0  145.0      5   80.64 -147.51   80.40   80.90 -148.90 -146.13     83     83244   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.86      0.00     21.47      2.66
    USSUB-DG       1986a   6090009   1986  145.0  145.0  145.0      5   80.41 -149.03   80.30   80.60 -149.40 -148.66     57     57138   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.44      0.00     32.29      2.64
    USSUB-DG       1986a   6090010   1986  145.0  145.0  145.0      5   81.10 -147.71   80.90   81.20 -148.30 -147.12     43     43980   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.07      0.00     29.12      3.08
    USSUB-DG       1986a   6090011   1986  145.0  145.0  145.0      5   81.50 -144.56   81.30   81.70 -145.10 -144.03     46     46422   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.59      0.00     24.44      2.41
    USSUB-DG       1986a   6090012   1986  145.0  145.0  145.0      5   83.15 -136.88   82.90   83.40 -138.20 -135.56     68     68092   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.91      0.00     30.21      3.00
    USSUB-DG       1986a   6090013   1986  145.0  145.0  145.0      5   83.74 -134.60   83.40   84.00 -135.60 -133.60     69     69775   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.34      0.00     29.78      2.96
    USSUB-DG       1986a   6090014   1986  145.0  145.0  145.0      5   84.28 -132.08   84.00   84.50 -133.40 -130.77     60     60649   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.38      0.00     24.70      3.12
    USSUB-DG       1986a   6090015   1986  145.0  145.0  145.0      5   84.67 -129.53   84.50   84.80 -130.50 -128.56     34     34341   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.13      0.00     29.20      2.93
    USSUB-DG       1986a   6090016   1986  145.0  145.0  145.0      5   84.95 -127.38   84.80   85.10 -128.50 -126.27     36     36081   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.59      0.00     31.33      3.51
    USSUB-DG       1986a   6090017   1986  145.0  145.0  145.0      5   85.40 -123.82   85.20   85.60 -125.30 -122.34     50     50093   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.11      0.00     25.61      2.92
    USSUB-DG       1986a   6090018   1986  145.0  145.0  145.0      5   85.77 -118.58   85.60   86.10 -122.20 -114.96     94     94183   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.87      0.00     36.55      2.95
    USSUB-DG       1986a   6090019   1986  145.0  145.0  145.0      5   86.00 -115.01   85.60   86.20 -119.10 -110.92     86     86844   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.97      0.00     24.91      3.05
    USSUB-DG       1986a   6090020   1986  105.0  105.0  105.0      4   89.50  114.91   89.40   89.50   90.70  139.12     60     60020   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.14      0.00     23.15      2.42
    USSUB-DG       1986a   6090021   1986  105.0  105.0  105.0      4   88.59 -156.01   88.40   88.80 -157.90 -154.12     43     43197   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.34      0.00     20.61      2.58
    USSUB-DG       1986a   6090022   1986  105.0  105.0  105.0      4   88.06 -150.24   87.90   88.40 -154.70 -145.79    101    101094   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.19      0.00     26.87      2.46
    USSUB-DG       1986a   6090023   1986  105.0  105.0  105.0      4   88.01 -133.69   88.00   88.00 -140.60 -126.78     48     48736   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.41      0.00     26.45      2.87
    USSUB-DG       1986a   6090024   1986  105.0  105.0  105.0      4   87.95 -118.36   87.90   88.00 -125.80 -110.92     54     54575   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.72      0.00     31.28      3.10
    USSUB-DG       1986a   6090025   1986  105.0  105.0  105.0      4   87.76 -103.64   87.60   87.90 -110.90  -96.37     54     54039   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.09      0.00     24.89      2.44
    USSUB-DG       1986a   6090026   1986  115.0  105.0  115.0      4   87.40  -90.33   87.20   87.60  -96.50  -84.16    116    116097   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.91      0.00     31.90      3.10
    USSUB-DG       1986a   6090027   1986   95.0  105.0   95.0      4   87.46  -75.38   87.40   87.50  -80.20  -70.55     58     58473   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.49      0.00     24.57      3.53
    USSUB-DG       1986a   6090028   1986   95.0  105.0   95.0      4   87.55  -62.04   87.50   87.60  -69.80  -54.29    100    100466   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.77      0.00     24.42      2.85
    USSUB-DG       1986a   6090029   1986   95.0  105.0   95.0      4   87.43  -47.94   87.30   87.50  -54.50  -41.38    126    126359   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.52      0.00     26.84      2.74
    USSUB-DG       1986a   6090030   1986   95.0  105.0   95.0      4   87.33  -39.32   87.30   87.40  -42.90  -35.74     57     57059   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.40      0.00     26.69      2.95
    USSUB-DG       1986a   6090031   1986  145.0  145.0  145.0      5   86.29 -116.03   86.10   86.50 -120.10 -111.95    118    118921   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.78      0.00     31.10      2.92
    USSUB-DG       1986a   6090032   1986  145.0  145.0  145.0      5   86.71 -107.76   86.50   86.90 -111.40 -104.12     64     64534   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.07      0.00     27.69      3.14
    USSUB-DG       1986a   6090033   1986  145.0  145.0  145.0      5   87.11 -100.54   87.00   87.20 -104.30  -96.77     50     50582   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.83      0.00     32.53      3.99
    USSUB-DG       1986a   6090034   1986  156.0  156.0  156.0      6   87.51  -69.65   87.50   87.50  -74.80  -64.50     49     49300   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      4.09      0.00     24.46      3.10
    USSUB-DG       1986b   6100035   1986  105.0  105.0  105.0      4   73.40 -142.60   73.20   73.60 -142.60 -142.60     49     49975   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.87      0.16     24.12      2.14
    USSUB-DG       1986b   6100036   1986  105.0  105.0  105.0      4   73.85 -142.60   73.60   74.10 -142.60 -142.60     49     49948   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.44      0.12     14.78      1.92
    USSUB-DG       1986b   6100037   1986  105.0  105.0  105.0      4   74.30 -142.60   74.10   74.50 -142.60 -142.60     49     49978   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00   -999.00      3.96      0.00     23.36      2.38
