      Source    Campaign     Index   Year   Yday MinDay MaxDay  Month     Lat     Lon  MinLat  MaxLat  MinLon  MaxLon Length    Nsamps  Avg_none  Min_none  Max_none   SD_none Avg_frbrd Min_frbrd Max_frbrd  SD_frbrd Avg_thkns Min_thkns Max_thkns  SD_thkns
   ICESAT1-G          3d  11000000   2005  319.6  306.0  326.0     11   72.87  179.20   72.59   73.04  178.52  180.00    103       610   -999.00   -999.00   -999.00   -999.00      0.30      0.02      0.60      0.13      1.45      0.05      4.15      1.03
   ICESAT1-G          3d  11000001   2005  314.7  311.0  319.0     11   72.27  165.57   72.03   72.52  165.00  166.11    100       590   -999.00   -999.00   -999.00   -999.00      0.17      0.00      0.51      0.12      0.62      0.00      3.16      0.72
   ICESAT1-G          3d  11000002   2005  318.8  313.0  324.0     11   71.74  160.02   71.49   72.01  159.39  160.67    109       647   -999.00   -999.00   -999.00   -999.00      0.14      0.00      0.39      0.08      0.36      0.00      1.90      0.24
   ICESAT1-G          3d  11000003   2005  324.4  323.0  326.0     11   71.87 -157.10   71.57   72.12 -157.39 -156.78     95       559   -999.00   -999.00   -999.00   -999.00      0.38      0.00      1.26      0.29      2.64      0.00     10.89      2.69
   ICESAT1-G          3d  11000004   2005  315.8  306.0  326.0     11   73.22  179.26   73.04   73.49  178.70  179.91    131       776   -999.00   -999.00   -999.00   -999.00      0.19      0.00      0.52      0.13      0.77      0.00      3.42      0.82
   ICESAT1-G          3d  11000005   2005  314.7  311.0  319.0     11   72.69  165.40   72.45   72.95  164.62  166.10    100       593   -999.00   -999.00   -999.00   -999.00      0.15      0.00      0.31      0.06      0.36      0.00      1.30      0.16
   ICESAT1-G          3d  11000006   2005  316.9  313.0  324.0     11   72.12  159.78   71.91   72.45  159.35  160.49     86       508   -999.00   -999.00   -999.00   -999.00      0.18      0.00      0.47      0.12      0.65      0.00      2.74      0.64
   ICESAT1-G          3d  11000007   2005  314.4  301.0  326.0     11   71.51  154.30   71.25   71.76  153.92  154.81     86       506   -999.00   -999.00   -999.00   -999.00      0.29      0.00      1.12      0.32      1.66      0.00      8.72      2.67
   ICESAT1-G          3d  11000008   2005  319.3  307.0  324.0     11   71.48 -151.34   71.25   71.76 -151.81 -150.29    115       680   -999.00   -999.00   -999.00   -999.00      0.23      0.00      0.60      0.11      1.39      0.00      4.83      0.99
   ICESAT1-G          3d  11000009   2005  321.8  319.0  324.0     11   72.75 -160.49   72.50   73.03 -160.93 -160.03     91       538   -999.00   -999.00   -999.00   -999.00      0.24      0.00      0.89      0.11      1.21      0.00      7.23      0.98
   ICESAT1-G          3d  11000010   2005  318.9  317.0  321.0     11   73.17 -165.16   72.89   73.42 -165.83 -164.53     90       535   -999.00   -999.00   -999.00   -999.00      0.18      0.00      0.51      0.06      0.64      0.00      3.54      0.45
   ICESAT1-G          3d  11000011   2005  320.7  319.0  323.0     11   73.52 -171.06   73.28   73.76 -171.39 -170.74     85       500   -999.00   -999.00   -999.00   -999.00      0.10      0.00      0.38      0.04      0.25      0.00      2.25      0.14
